,NAME,PRICE,RATING
0,"SAMSUNG Galaxy S23 5G (Phantom Black, 128 GB)","₹46,999",4.5
1,"SAMSUNG Galaxy S23 5G (Green, 128 GB)","₹46,999",4.5
2,"SAMSUNG Galaxy S23 5G (Lavender, 128 GB)","₹46,999",4.5
3,"OnePlus 12R (Cool Blue, 256 GB)","₹43,444",4.4
4,"SAMSUNG Galaxy S23 5G (Cream, 128 GB)","₹46,999",4.5
5,"Xiaomi 14 CIVI (Shadow Black, 512 GB)","₹47,999",4.2
6,"Xiaomi 14 CIVI (Matcha Green, 512 GB)","₹47,899",4.2
7,"SAMSUNG Galaxy A55 5G (Awesome Iceblue, 256 GB)","₹45,999",4.3
8,"Xiaomi 14 CIVI (Cruise Blue, 512 GB)","₹47,999",4.2
9,"OnePlus 11 5G (Titan Black, 128 GB)","₹48,999",4.4
10,"OnePlus 11 5G (Marble Odyssey, 256 GB)","₹49,990",4.5
11,"vivo V30 Pro 5G (Andaman Blue, 512 GB)","₹46,999",4.5
12,"vivo V30 Pro 5G (Classic Black, 512 GB)","₹46,999",4.5
13,"Apple iPhone XR (Black, 64 GB) (Includes EarPods, Power Adapter)","₹47,900",4.6
14,"Mi 10T Pro (Cosmic Black, 128 GB)","₹47,999",4.2
15,"SAMSUNG Galaxy A55 5G (Awesome Navy, 256 GB)","₹45,999",4.3
16,"Apple iPhone 6 Plus (Silver, 64 GB)","₹48,999",4.5
17,"OPPO Reno10 Pro+ 5G (Glossy Purple, 256 GB)","₹54,999",4.5
18,"vivo X70 Pro+ (Enigma Black, 256 GB)","₹49,999",4.5
19,"vivo X70 Pro (Cosmic Black, 256 GB)","₹49,999",4.5
20,"MOTOROLA razr 40 (Sage Green, 256 GB)","₹49,999",4.3
21,"Xiaomi 12 Pro 5G (Noir Black, 256 GB)","₹45,990",4.1
22,"vivo X60 (Midnight Black, 256 GB)","₹46,990",4.4
23,"Apple iPhone XR (White, 64 GB) (Includes EarPods, Power Adapter)","₹47,900",4.6
